;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques (Education and social work);RDF20-21;Engineering and technology;0.6998093128204346;RDF50;Social sciences;0.16240845620632172;RDF30;Medical, health and life sciences;0.05459960550069809;RDF10;Natural sciences;0.04899058863520622;RDF60;Humanities and the arts;0.019582495093345642;RDF40;Agricultural and veterinary sciences;0.014609431847929955
1;High-tech paper: Security printing and the aesthetics of trust (Communications, media studies, gender studies, library and information science, related fields);RDF20-21;Engineering and technology;0.3887121081352234;RDF30;Medical, health and life sciences;0.22562937438488007;RDF50;Social sciences;0.19280265271663666;RDF60;Humanities and the arts;0.10720609873533249;RDF10;Natural sciences;0.0607273243367672;RDF40;Agricultural and veterinary sciences;0.02492244355380535
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers (Systems & Circuits Neurosciences);RDF30;Medical, health and life sciences;0.35502734780311584;RDF20-21;Engineering and technology;0.3354772627353668;RDF10;Natural sciences;0.13488483428955078;RDF50;Social sciences;0.08070087432861328;RDF60;Humanities and the arts;0.06321924924850464;RDF40;Agricultural and veterinary sciences;0.030690481886267662
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being (Social & Developmental Aspects of Children's & Youth's Health);RDF30;Medical, health and life sciences;0.7248812913894653;RDF50;Social sciences;0.20203077793121338;RDF60;Humanities and the arts;0.03804395720362663;RDF10;Natural sciences;0.020244494080543518;RDF40;Agricultural and veterinary sciences;0.007609270047396421;RDF20-21;Engineering and technology;0.007190254982560873
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications (Chemistry);RDF10;Natural sciences;0.4173160493373871;RDF20-21;Engineering and technology;0.3601004183292389;RDF30;Medical, health and life sciences;0.1984783113002777;RDF60;Humanities and the arts;0.010539529845118523;RDF50;Social sciences;0.009067914448678493;RDF40;Agricultural and veterinary sciences;0.0044977194629609585
5;Interactions between attention, perception and reaching movements (Biological Systems and Functions);RDF10;Natural sciences;0.7440290451049805;RDF30;Medical, health and life sciences;0.13850794732570648;RDF40;Agricultural and veterinary sciences;0.052111655473709106;RDF50;Social sciences;0.030337151139974594;RDF20-21;Engineering and technology;0.01905880682170391;RDF60;Humanities and the arts;0.0159553624689579
6;Design and Management of Fog Networks (Computer Science);RDF20-21;Engineering and technology;0.7963621020317078;RDF30;Medical, health and life sciences;0.05002265051007271;RDF10;Natural sciences;0.04848361015319824;RDF50;Social sciences;0.04635383188724518;RDF60;Humanities and the arts;0.03941689804196358;RDF40;Agricultural and veterinary sciences;0.01936092972755432
7;Polymer Porous Fibrous Structures with Antiviral Properties (Materials and Chemical Engineering);RDF20-21;Engineering and technology;0.9429469704627991;RDF30;Medical, health and life sciences;0.03966832533478737;RDF10;Natural sciences;0.005864586215466261;RDF50;Social sciences;0.005195735488086939;RDF60;Humanities and the arts;0.004479004070162773;RDF40;Agricultural and veterinary sciences;0.0018453738885000348
8;L'art Noir: cartographies for an emerging field (Multidisciplinary or interdisciplinary humanities);RDF60;Humanities and the arts;0.9180752038955688;RDF50;Social sciences;0.05887356027960777;RDF30;Medical, health and life sciences;0.010278885252773762;RDF20-21;Engineering and technology;0.006807210389524698;RDF10;Natural sciences;0.0035661908332258463;RDF40;Agricultural and veterinary sciences;0.0023989081382751465
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF30;Medical, health and life sciences;0.547321617603302;RDF50;Social sciences;0.14208190143108368;RDF10;Natural sciences;0.12538684904575348;RDF60;Humanities and the arts;0.08960993587970734;RDF20-21;Engineering and technology;0.0654960349202156;RDF40;Agricultural and veterinary sciences;0.030103635042905807
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.9211747050285339;RDF50;Social sciences;0.02905256487429142;RDF10;Natural sciences;0.025551313534379005;RDF60;Humanities and the arts;0.013165540993213654;RDF20-21;Engineering and technology;0.007785104215145111;RDF40;Agricultural and veterinary sciences;0.003270767629146576
